variable_code,variable_name,chem_category,unit,observations,n_sites,first_record_utc,last_record_utc
Ca,Calcium,precip_flux,kg/ha/d,497197,70,1968-10-21T00:00:00Z,2021-04-08T00:00:00Z
Ca,Calcium,stream_conc,mg/L,1369308,250,1963-06-02T00:00:00Z,2020-12-02T00:00:00Z
Ca,Calcium,stream_flux,kg/ha/d,808853,139,1963-06-02T00:00:00Z,2020-12-02T00:00:00Z
cationCharge,TOTAL Cation Charge,NA,ueq/L,493008,40,1970-01-08T00:00:00Z,2020-11-06T00:00:00Z
Cd,Cadmium,precip_conc,mg/L,10660,26,2011-08-04T00:00:00Z,2018-06-13T00:00:00Z
Cd,Cadmium,precip_flux,kg/ha/d,10660,26,2011-08-04T00:00:00Z,2018-06-13T00:00:00Z
Cd,Cadmium,stream_conc,mg/L,123454,45,1990-12-03T00:00:00Z,2020-12-02T00:00:00Z
Cd,Cadmium,stream_flux,kg/ha/d,50698,29,1990-12-03T00:00:00Z,2020-12-02T00:00:00Z
Ce,Cerium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Ce,Cerium,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Ce,Cerium,stream_conc,mg/L,101755,22,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Ce,Cerium,stream_flux,kg/ha/d,37976,18,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
CH4,Methane,NA,ppm,1253,3,2008-05-26T00:00:00Z,2010-08-12T00:00:00Z
CH4_C,Methane-C,NA,mg/L,24008,13,2015-06-30T00:00:00Z,2020-12-02T00:00:00Z
CHL,Chlorophyll,NA,mg/L,106012,50,1994-03-29T00:00:00Z,2017-08-26T00:00:00Z
Cl,Chloride,precip_conc,mg/L,466932,77,1969-12-17T00:00:00Z,2020-12-31T00:00:00Z
Cl,Chloride,precip_flux,kg/ha/d,461784,70,1969-12-17T00:00:00Z,2021-04-08T00:00:00Z
Cl,Chloride,stream_conc,mg/L,1387599,273,1964-03-17T00:00:00Z,2020-11-06T00:00:00Z
Cl,Chloride,stream_flux,kg/ha/d,800371,149,1964-03-17T00:00:00Z,2020-09-30T00:00:00Z
Co,Cobalt,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Co,Cobalt,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Co,Cobalt,stream_conc,mg/L,110641,35,1993-07-23T00:00:00Z,2020-12-02T00:00:00Z
Co,Cobalt,stream_flux,kg/ha/d,54373,27,1994-08-28T00:00:00Z,2020-12-02T00:00:00Z
CO2,Carbon Dioxide,NA,ppm,2448,6,2008-05-26T00:00:00Z,2010-08-12T00:00:00Z
CO2_C,Carbon Dioxide-C,NA,mg/L,23694,13,2015-06-30T00:00:00Z,2020-10-20T00:00:00Z
CO3,Carbonate,stream_conc,mg/L,34945,27,2014-10-22T00:00:00Z,2020-03-20T00:00:00Z
CO3,Carbonate,stream_flux,kg/ha/d,20127,25,2016-10-05T00:00:00Z,2020-03-20T00:00:00Z
Cr,Chromium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Cr,Chromium,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Cr,Chromium,stream_conc,mg/L,147850,46,1993-07-23T00:00:00Z,2020-12-02T00:00:00Z
Cr,Chromium,stream_flux,kg/ha/d,54300,28,1994-08-28T00:00:00Z,2020-12-02T00:00:00Z
Cs,Caesium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Cs,Caesium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Cs,Caesium,stream_conc,mg/L,45181,25,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Cs,Caesium,stream_flux,kg/ha/d,25792,18,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Cu,Copper,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Cu,Copper,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Cu,Copper,stream_conc,mg/L,170814,48,1992-01-06T00:00:00Z,2020-12-02T00:00:00Z
Cu,Copper,stream_flux,kg/ha/d,68606,30,1992-01-06T00:00:00Z,2020-12-02T00:00:00Z
d18O,Delta 18 Oxygen,NA,ppt,119426,40,1998-06-12T00:00:00Z,2020-02-19T00:00:00Z
deuterium,Deuterium,NA,unitless,23617,15,2014-06-27T00:00:00Z,2020-02-19T00:00:00Z
DIC,Dissolved Inorganic Carbon,stream_conc,mg/L,240961,86,1983-07-05T00:00:00Z,2020-12-02T00:00:00Z
DIC,Dissolved Inorganic Carbon,stream_flux,kg/ha/d,144613,64,1987-01-03T00:00:00Z,2020-12-02T00:00:00Z
DIN,Dissolved Inorganic Nitrogen,stream_conc,mg/L,1796,4,2008-04-02T00:00:00Z,2009-06-24T00:00:00Z
DIN,Dissolved Inorganic Nitrogen,stream_flux,kg/ha/d,1796,4,2008-04-02T00:00:00Z,2009-06-24T00:00:00Z
discharge,Discharge,NA,L/s,1795097,218,1949-10-01T00:00:00Z,2021-07-10T00:00:00Z
DO,Dissolved Oxygen,NA,mg/L,87238,28,2001-06-22T00:00:00Z,2018-11-06T00:00:00Z
DO_sat,Dissolved Oxygen Percent Saturation,NA,%,30025,15,2001-06-22T00:00:00Z,2018-11-06T00:00:00Z
DOC,Dissolved Organic Carbon,precip_conc,mg/L,239796,30,1983-11-28T00:00:00Z,2020-05-19T00:00:00Z
DOC,Dissolved Organic Carbon,precip_flux,kg/ha/d,239796,30,1983-11-28T00:00:00Z,2020-05-19T00:00:00Z
DOC,Dissolved Organic Carbon,stream_conc,mg/L,996511,226,1978-05-20T00:00:00Z,2021-04-22T00:00:00Z
DOC,Dissolved Organic Carbon,stream_flux,kg/ha/d,445565,126,1978-05-21T00:00:00Z,2021-01-11T00:00:00Z
DON,Dissolved Organic Nitrogen,precip_conc,mg/L,276041,23,1968-10-21T00:00:00Z,2020-05-19T00:00:00Z
DON,Dissolved Organic Nitrogen,precip_flux,kg/ha/d,259025,19,1968-10-21T00:00:00Z,2020-05-19T00:00:00Z
DON,Dissolved Organic Nitrogen,stream_conc,mg/L,337846,65,1968-10-09T00:00:00Z,2020-05-27T00:00:00Z
DON,Dissolved Organic Nitrogen,stream_flux,kg/ha/d,238300,38,1968-10-09T00:00:00Z,2020-05-27T00:00:00Z
DOP,Dissolved Organic Phosphorus,precip_conc,mg/L,228,4,2011-06-21T00:00:00Z,2011-08-16T00:00:00Z
DOP,Dissolved Organic Phosphorus,precip_flux,kg/ha/d,228,4,2011-06-21T00:00:00Z,2011-08-16T00:00:00Z
DOP,Dissolved Organic Phosphorus,stream_conc,mg/L,119320,30,1993-09-21T00:00:00Z,2020-11-06T00:00:00Z
DOP,Dissolved Organic Phosphorus,stream_flux,kg/ha/d,46257,9,1997-01-31T00:00:00Z,2020-09-30T00:00:00Z
Dy,Dysprosium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Dy,Dysprosium,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Dy,Dysprosium,stream_conc,mg/L,60648,19,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
Dy,Dysprosium,stream_flux,kg/ha/d,36556,18,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
E_pheophy,Epilithic Phaeophytin,NA,mg/cm2,79007,27,2004-06-18T00:00:00Z,2018-08-31T00:00:00Z
ECHL_A,Epilithic Chlorophyll a,NA,mg/cm2,80339,27,2004-06-18T00:00:00Z,2018-08-31T00:00:00Z
Ecoli,Escherichia coli,NA,#/mL,41204,13,2001-10-03T00:00:00Z,2016-06-16T00:00:00Z
Er,Erbium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Er,Erbium,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Er,Erbium,stream_conc,mg/L,60648,19,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
Er,Erbium,stream_flux,kg/ha/d,36556,18,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Eu,Europium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Eu,Europium,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Eu,Europium,stream_conc,mg/L,122868,37,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Eu,Europium,stream_flux,kg/ha/d,43613,27,2003-03-26T00:00:00Z,2020-12-02T00:00:00Z
F,Fluorine,precip_conc,mg/L,65728,35,1998-04-26T00:00:00Z,2020-05-19T00:00:00Z
F,Fluorine,precip_flux,kg/ha/d,65728,35,1998-04-26T00:00:00Z,2020-05-19T00:00:00Z
F,Fluorine,stream_conc,mg/L,424507,133,1993-01-18T00:00:00Z,2020-05-27T00:00:00Z
F,Fluorine,stream_flux,kg/ha/d,108703,61,1995-04-12T00:00:00Z,2020-05-27T00:00:00Z
Fe,Iron,precip_conc,mg/L,64887,39,2011-03-29T00:00:00Z,2020-05-19T00:00:00Z
Fe,Iron,precip_flux,kg/ha/d,64887,39,2011-03-29T00:00:00Z,2020-05-19T00:00:00Z
Fe,Iron,stream_conc,mg/L,290281,117,1989-01-03T00:00:00Z,2020-12-02T00:00:00Z
Fe,Iron,stream_flux,kg/ha/d,142967,75,1989-01-03T00:00:00Z,2020-12-02T00:00:00Z
Ga,Gallium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Ga,Gallium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Ga,Gallium,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Ga,Gallium,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Gd,Gadolinium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Gd,Gadolinium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Gd,Gadolinium,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Gd,Gadolinium,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Gd157,Gadolinium-157,precip_conc,mg/L,39598,13,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Gd157,Gadolinium-157,precip_flux,kg/ha/d,39598,13,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Gd157,Gadolinium-157,stream_conc,mg/L,36777,9,2005-09-27T00:00:00Z,2019-07-24T00:00:00Z
Gd157,Gadolinium-157,stream_flux,kg/ha/d,16414,9,2010-07-02T00:00:00Z,2019-07-24T00:00:00Z
Ge,Germanium,stream_conc,mg/L,44763,25,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Ge,Germanium,stream_flux,kg/ha/d,24777,18,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
H,Hydrogen,precip_conc,mg/L,2092,4,2012-05-25T00:00:00Z,2013-10-29T00:00:00Z
H,Hydrogen,precip_flux,kg/ha/d,2092,4,2012-05-25T00:00:00Z,2013-10-29T00:00:00Z
H,Hydrogen,stream_conc,mg/L,139394,25,1982-02-12T00:00:00Z,2020-11-06T00:00:00Z
H,Hydrogen,stream_flux,kg/ha/d,65838,10,1982-05-28T00:00:00Z,2020-09-30T00:00:00Z
HCO3,Bicarbonate,stream_conc,mg/L,69560,35,1976-11-04T00:00:00Z,2020-03-20T00:00:00Z
HCO3,Bicarbonate,stream_flux,kg/ha/d,54486,33,1976-11-04T00:00:00Z,2020-03-20T00:00:00Z
Hf,Hafnium,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Hf,Hafnium,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Hg,Mercury,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Hg,Mercury,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Hg,Mercury,stream_conc,mg/L,23703,10,2007-03-14T00:00:00Z,2020-12-02T00:00:00Z
Hg,Mercury,stream_flux,kg/ha/d,19735,9,2007-03-14T00:00:00Z,2020-12-02T00:00:00Z
Ho,Holmium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Ho,Holmium,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Ho,Holmium,stream_conc,mg/L,60648,19,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
Ho,Holmium,stream_flux,kg/ha/d,36556,18,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
I,Iodine,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
I,Iodine,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
I,Iodine,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
I,Iodine,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
ionBalance,Ion Balance,NA,ueq/L,475207,23,1970-01-08T00:00:00Z,2020-11-06T00:00:00Z
ionError,Ion Error,NA,%,373741,11,1970-01-08T00:00:00Z,2020-05-27T00:00:00Z
Ir,Iridium,stream_conc,mg/L,2,2,2007-10-03T00:00:00Z,2011-05-09T00:00:00Z
Ir,Iridium,stream_flux,kg/ha/d,2,2,2007-10-03T00:00:00Z,2011-05-09T00:00:00Z
K,Potassium,precip_conc,mg/L,518210,77,1968-10-21T00:00:00Z,2020-12-31T00:00:00Z
K,Potassium,precip_flux,kg/ha/d,497418,70,1968-10-21T00:00:00Z,2021-04-08T00:00:00Z
K,Potassium,stream_conc,mg/L,1356636,247,1963-06-02T00:00:00Z,2020-12-02T00:00:00Z
K,Potassium,stream_flux,kg/ha/d,806524,139,1963-06-02T00:00:00Z,2020-12-02T00:00:00Z
La,Lanthanum,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
La,Lanthanum,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
La,Lanthanum,stream_conc,mg/L,105608,22,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
La,Lanthanum,stream_flux,kg/ha/d,38409,18,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Li,Lithium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Li,Lithium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Li,Lithium,stream_conc,mg/L,272990,63,1993-07-23T00:00:00Z,2020-12-02T00:00:00Z
Li,Lithium,stream_flux,kg/ha/d,38290,18,1994-08-28T00:00:00Z,2020-12-02T00:00:00Z
Lu,Lutetium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Lu,Lutetium,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Lu,Lutetium,stream_conc,mg/L,60648,19,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
Lu,Lutetium,stream_flux,kg/ha/d,36556,18,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
MF_N,Moss: Fontinalis: Nitrogen,NA,%,4472,3,1998-06-12T00:00:00Z,2009-07-22T00:00:00Z
MF_P,Moss: Fontinalis: Phosphorus,NA,%,792,2,1998-06-12T00:00:00Z,1999-07-25T00:00:00Z
Mg,Magnesium,precip_conc,mg/L,518210,77,1968-10-21T00:00:00Z,2020-12-31T00:00:00Z
Mg,Magnesium,precip_flux,kg/ha/d,497418,70,1968-10-21T00:00:00Z,2021-04-08T00:00:00Z
Mg,Magnesium,stream_conc,mg/L,1358770,247,1963-06-02T00:00:00Z,2020-12-02T00:00:00Z
Mg,Magnesium,stream_flux,kg/ha/d,806763,139,1963-06-02T00:00:00Z,2020-12-02T00:00:00Z
MH_Al,Moss: Hygrohypnum: Aluminum,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_B,Moss: Hygrohypnum: Boron,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_C,Moss: Hygrohypnum: Carbon,NA,%,30631,7,1996-08-12T00:00:00Z,2015-07-21T00:00:00Z
MH_Ca,Moss: Hygrohypnum: Calcium,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_Cu,Moss: Hygrohypnum: Copper,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_Fe,Moss: Hygrohypnum: Iron,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_K,Moss: Hygrohypnum: Potassium,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_Mg,Moss: Hygrohypnum: Magnesium,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_Mn,Moss: Hygrohypnum: Manganese,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_N,Moss: Hygrohypnum: Nitrogen,NA,%,38171,8,1995-06-22T00:00:00Z,2015-07-21T00:00:00Z
MH_Na,Moss: Hygrohypnum: Sodium,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_P,Moss: Hygrohypnum: Phosphorus,NA,%,38171,8,1995-06-22T00:00:00Z,2015-07-21T00:00:00Z
MH_S,Moss: Hygrohypnum: Sulfur,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
Mn,Manganese,precip_conc,mg/L,67807,39,2011-03-29T00:00:00Z,2020-05-19T00:00:00Z
Mn,Manganese,precip_flux,kg/ha/d,67807,39,2011-03-29T00:00:00Z,2020-05-19T00:00:00Z
Mn,Manganese,stream_conc,mg/L,289348,117,1989-01-03T00:00:00Z,2020-12-02T00:00:00Z
Mn,Manganese,stream_flux,kg/ha/d,143084,75,1989-01-03T00:00:00Z,2020-12-02T00:00:00Z
Mo,Molybdenum,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Mo,Molybdenum,precip_flux,kg/ha/d,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Mo,Molybdenum,stream_conc,mg/L,109812,36,1992-01-06T00:00:00Z,2020-12-02T00:00:00Z
Mo,Molybdenum,stream_flux,kg/ha/d,60807,29,1992-01-06T00:00:00Z,2020-12-02T00:00:00Z
MS_Al,Moss: Schistidium: Aluminum,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_B,Moss: Schistidium: Boron,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_C,Moss: Schistidium: Carbon,NA,%,27385,10,1996-08-13T00:00:00Z,2015-07-21T00:00:00Z
MS_Ca,Moss: Schistidium: Calcium,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_Cu,Moss: Schistidium: Copper,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_Fe,Moss: Schistidium: Iron,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_K,Moss: Schistidium: Potassium,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_Mg,Moss: Schistidium: Magnesium,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_Mn,Moss: Schistidium: Manganese,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_N,Moss: Schistidium: Nitrogen,NA,%,47299,13,1995-07-06T00:00:00Z,2015-07-21T00:00:00Z
MS_Na,Moss: Schistidium: Sodium,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_P,Moss: Schistidium: Phosphorus,NA,%,47299,13,1995-07-06T00:00:00Z,2015-07-21T00:00:00Z
MS_S,Moss: Schistidium: Sulfur,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_Zn,Moss: Schistidium: Zinc,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
Na,Sodium,precip_conc,mg/L,518210,77,1968-10-21T00:00:00Z,2020-12-31T00:00:00Z
Na,Sodium,precip_flux,kg/ha/d,497418,70,1968-10-21T00:00:00Z,2021-04-08T00:00:00Z
Na,Sodium,stream_conc,mg/L,1358737,247,1963-06-02T00:00:00Z,2020-12-02T00:00:00Z
Na,Sodium,stream_flux,kg/ha/d,806763,139,1963-06-02T00:00:00Z,2020-12-02T00:00:00Z
Nb,Niobium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Nb,Niobium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
